unix,date,trade,price,open,high,low,close,balance
1601503200,2020-10-01 00:00:00,BUY,10795.25488,10795.25488,10933.62402,10472.35645,10619.45215,99.0
1602194400,2020-10-09 00:00:00,SELL,11064.45801,10927.91309,11102.67188,10846.85059,11064.45801,100.454092248362
1602280800,2020-10-10 00:00:00,BUY,11059.14258,11059.14258,11442.21094,11056.94043,11296.36133,99.44955132587839
1602367200,2020-10-11 00:00:00,SELL,11384.18164,11296.08203,11428.81348,11288.62793,11384.18164,101.34874658132851
1602453600,2020-10-12 00:00:00,BUY,11392.63574,11392.63574,11698.46777,11240.68652,11555.36328,100.33525911551523
1603058400,2020-10-19 00:00:00,SELL,11742.03711,11495.03809,11799.09277,11408.29004,11742.03711,102.3783222104569
1603144800,2020-10-20 00:00:00,BUY,11745.97461,11745.97461,11999.91797,11681.48047,11916.33496,101.35453898835233
1603231200,2020-10-21 00:00:00,SELL,12823.68945,11913.07715,13184.56641,11900.92871,12823.68945,109.54746487496469
1603317600,2020-10-22 00:00:00,BUY,12801.63574,12801.63574,13161.59375,12717.09375,12965.8916,108.45199022621505
1603490400,2020-10-24 00:00:00,SELL,13108.0625,12931.57422,13145.06641,12885.74707,13108.0625,109.93747518340727
1603576800,2020-10-25 00:00:00,BUY,13108.06348,13108.06348,13329.18359,12910.06152,13031.17383,108.8381004315732
1603753200,2020-10-27 00:00:00,SELL,13654.21875,13075.24219,13759.66895,13060.83789,13654.21875,112.23917564601983
1603839600,2020-10-28 00:00:00,BUY,13654.21484,13654.21484,13837.69531,12932.25098,13271.28516,111.11678388955963
1604358000,2020-11-03 00:00:00,SELL,13950.30078,13550.45117,13984.98145,13325.44141,13950.30078,112.39104184155045
1604444400,2020-11-04 00:00:00,BUY,13950.48828,13950.48828,14218.7666,13580.47168,14133.70703,111.26713142313494
1604530800,2020-11-05 00:00:00,SELL,15579.84863,14133.7334,15706.4043,14102.08887,15579.84863,123.02005348991923
1604617200,2020-11-06 00:00:00,BUY,15579.72949,15579.72949,15903.4375,15226.83984,15565.88086,121.78985295502004
1605135600,2020-11-12 00:00:00,SELL,16276.34375,15701.29883,16305.00391,15534.77148,16276.34375,125.96307131634806
1605222000,2020-11-13 00:00:00,BUY,16276.44043,16276.44043,16463.17773,15992.15234,16317.80859,124.70344060318459
1605481200,2020-11-16 00:00:00,SELL,16716.11133,15955.57715,16816.18164,15880.70606,16716.11133,126.79129931809712
1605567600,2020-11-17 00:00:00,BUY,16685.69141,16685.69141,17782.91992,16564.54492,17645.40625,125.52338632491615
1605654000,2020-11-18 00:00:00,SELL,17804.00586,17645.19141,18393.94922,17352.90625,17804.00586,132.59689756175905
1605740400,2020-11-19 00:00:00,BUY,17803.86133,17803.86133,18119.54688,17382.55469,17817.08984,131.27092858614145
1605826800,2020-11-20 00:00:00,SELL,18621.31445,17817.08398,18773.22656,17765.79492,18621.31445,135.92516938304945
1605913200,2020-11-21 00:00:00,BUY,18621.31641,18621.31641,18936.62109,18444.35938,18642.23242,134.56591768921896
1606172400,2020-11-24 00:00:00,SELL,19107.46484,18365.01563,19348.27148,18128.65625,19107.46484,136.69825212427045
1606258800,2020-11-25 00:00:00,BUY,19104.41016,19104.41016,19390.96484,18581.14648,18732.12109,135.33126960302775
1606690800,2020-11-30 00:00:00,SELL,19625.83594,18178.32227,19749.26367,18178.32227,19625.83594,137.63468119725098
1606777200,2020-12-01 00:00:00,BUY,19633.76953,19633.76953,19845.97461,18321.92188,18802.99805,136.2583343852785
1608073200,2020-12-16 00:00:00,SELL,21310.59766,19418.81836,21458.9082,19298.31641,21310.59766,146.41656418014134
1608159600,2020-12-17 00:00:00,BUY,21308.35156,21308.35156,23642.66016,21234.67578,22805.16211,144.95239853833993
1608246000,2020-12-18 00:00:00,SELL,23137.96094,22806.79688,23238.60156,22399.8125,23137.96094,155.82453184304552
1608332400,2020-12-19 00:00:00,BUY,23132.86523,23132.86523,24085.85547,22826.47266,23869.83203,154.26628652461505
1608591600,2020-12-22 00:00:00,SELL,23783.0293,22794.03906,23789.90234,22430.60547,23783.0293,157.01601942428053
1608678000,2020-12-23 00:00:00,BUY,23781.97461,23781.97461,24024.49023,22802.64648,23241.3457,155.4458592300377
1608850800,2020-12-25 00:00:00,SELL,24664.79102,23733.57031,24710.10156,23463.67383,24664.79102,159.60404040246706
1608937200,2020-12-26 00:00:00,BUY,24677.01563,24677.01563,26718.07031,24522.68945,26437.03711,158.0079999984424
1609023600,2020-12-27 00:00:00,SELL,26272.29492,26439.37305,28288.83984,25922.76953,26272.29492,166.54041597013216
1609110000,2020-12-28 00:00:00,BUY,26280.82227,26280.82227,27389.11133,26207.64063,27084.80859,164.87501181043083
1609196400,2020-12-29 00:00:00,SELL,27362.4375,27081.81055,27370.7207,25987.29883,27362.4375,169.94401233074237
1609282800,2020-12-30 00:00:00,BUY,27360.08984,27360.08984,28937.74023,27360.08984,28840.95313,168.24457220743494
1609369200,2020-12-31 00:00:00,SELL,29001.7207,28841.57422,29244.87695,28201.99219,29001.7207,176.5560091277281
1609455600,2021-01-01 00:00:00,BUY,28994.00977,28994.00977,29600.62695,28803.58594,29374.15234,174.7904490364508
1609542000,2021-01-02 00:00:00,SELL,32127.26758,29376.45508,33155.11719,29091.18164,32127.26758,191.74250734744732
1609628400,2021-01-03 00:00:00,BUY,32129.4082,32129.4082,34608.55859,32052.31641,32782.02344,189.82508227397284
1609801200,2021-01-05 00:00:00,SELL,33992.42969,31977.04102,34437.58984,30221.1875,33992.42969,198.82375564485253
1609887600,2021-01-06 00:00:00,BUY,34013.61328,34013.61328,36879.69922,33514.03516,36824.36328,196.835518088404
1609974000,2021-01-07 00:00:00,SELL,39371.04297,36833.875,40180.36719,36491.19141,39371.04297,225.56037728532556
1610060400,2021-01-08 00:00:00,BUY,39381.76563,39381.76563,41946.73828,36838.63672,40797.60938,223.3047735124723
